BRAND,PRODUCT,ACTUAL PRICE,DISCOUNTED PRICE,DISCOUNT
WEXFORD, Colourblocked Polo Collar T-shirt , Rs.899 , Rs.539 , 40% 
Rodamo, Slim Fit Polo Collar T-shirt , Rs.899 , Rs.539 , 40% 
Roadster, Striped V-Neck T-shirt , Rs.699 , Rs.419 , 40% 
Ecko Unltd, Men Printed Round Neck T-shirt , Rs.399 , Rs.259 , 35% 
Roadster, Printed Round Neck T-Shirt , Rs.699 , Rs.419 , 40% 
Scotch & Soda, Navy Blue Solid Regular Fit Round Neck T-Shirt , Rs.2990 , Rs.1794 , 40% 
ether, Men Henley T-shirt , Rs.499 , Rs.399 , 20% 
GAS, Solid Polo Collar T-shirt , Rs.2990 , Rs.2242 , 25% 
Roadster, Colourblocked Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
DILLINGER, Printed Round Neck Green T-shirt , Rs.899 , Rs.404 , 55% 
Moda Rapido, Colourblocked Round Neck T-shirt , Rs.699 , Rs.699 , 0%
Levis, Men Printed Round Neck T-shirt , Rs.1499 , Rs.1124 , 25% 
Roadster, Striped Round Neck Navy Blue T-shirt , Rs.699 , Rs.489 , 30% 
HERE&NOW, Striped Round Neck T-shirt , Rs.849 , Rs.466 , 45% 
ASICS, Men Solid Seamless Ss T-shirt , Rs.2399 , Rs.1799 , 25% 
Calvin Klein Jeans, Men Solid Polo Collar T-shirt , Rs.4599 , Rs.4599 , 0%
Roadster, Striped Round Neck T-shirt , Rs.599 , Rs.479 , 20% 
Harley-Davidson, Men Solid Slim Fit T-shirt , Rs.2195 , Rs.1646 , 25% 
Roadster, Time Travlr Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Mast & Harbour, Solid Round Neck T-shirt , Rs.599 , Rs.359 , 40% 
Fort Collins, Pack of 2 Polo Collar T-shirts , Rs.1499 , Rs.1499 , 0%
Roadster, Printed T-shirt , Rs.399 , Rs.279 , 30% 
next, Solid Round Neck T-shirt , Rs.1793 , Rs.1255 , 30% 
DILLINGER, Printed Round Neck T-shirt , Rs.1099 , Rs.494 , 55% 
Roadster, Pack of 2 T-shirts , Rs.1099 , Rs.659 , 40% 
Ajile by Pantaloons, Solid Polo Collar T-shirt , Rs.699 , Rs.489 , 30% 
Roadster, Colourblocked Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
Difference of Opinion, Printed T-shirt , Rs.899 , Rs.449 , 50% 
HERE&NOW, Colourblocked T-shirt , Rs.849 , Rs.551 , 35% 
Roadster, Solid Polo Collar T-shirt , Rs.999 , Rs.599 , 40% 
Denizen From Levis, Solid Polo T-shirt , Rs.899 , Rs.899 , 0%
Calvin Klein Jeans, Solid Polo Collar T-shirt , Rs.3999 , Rs.3999 , 0%
Roadster, Printed Round Neck T-shirt , Rs.599 , Rs.419 , 30% 
DILLINGER, Colourblocked Round Neck Navy Blue T-shirt , Rs.899 , Rs.404 , 55% 
UNDER ARMOUR, Vanish Seamless Hooded T-shirt , Rs.3499 , Rs.3499 , 0%
Roadster, Pack of 2 Polo T-shirts , Rs.1299 , Rs.779 , 40% 
UNDER ARMOUR, Siro Elite ½ Zip T-shirt , Rs.3499 , Rs.3499 , 0%
Difference of Opinion, Round Neck T-shirt , Rs.1099 , Rs.494 , 55% 
AMERICAN EAGLE OUTFITTERS, Solid Round Neck T-shirt , Rs.1599 , Rs.1039 , 35% 
Superdry, Printed Round Neck T-shirt , Rs.2999 , Rs.2249 , 25% 
Roadster, Solid Polo Collar T-shirt , Rs.799 , Rs.639 , 20% 
Maniac, Raglan Neck Cotton T-shirt , Rs.1269 , Rs.380 , 70% 
Rex Straut Jeans, Striped Polo Collar T-shirt , Rs.995 , Rs.995 , 0%
HRX by Hrithik Roshan, Slim Rapid Dry Raglan T-shirt , Rs.899 , Rs.629 , 30% 
Roadster, Striped Round Neck T-shirt , Rs.699 , Rs.419 , 40% 
ARISE, Solid V-Neck T-shirt    , Rs.499 , Rs.324 , 35% 
Rex Straut Jeans, Dyed Polo Collar T-shirt , Rs.999 , Rs.999 , 0%
Superdry, Printed Round Neck T-shirt , Rs.2599 , Rs.1949 , 25% 
Roadster, Solid Round Neck T-Shirt , Rs.699 , Rs.489 , 30% 
Marks & Spencer, Men Polo Collar T-shirt , Rs.1499 , Rs.1199 , 20% 
ADIDAS, Manchester United F.C. T-shirt , Rs.2499 , Rs.1749 , 30% 
DILLINGER, Printed Round Neck T-shirt , Rs.899 , Rs.359 , 60% 
HRX by Hrithik Roshan, Solid Hooded T-shirt , Rs.1199 , Rs.839 , 30% 
Roadster, Solid Round Neck T-shirt , Rs.299 , Rs.179 , 40% 
Denizen From Levis, Men Printed Round Neck T-shirt , Rs.899 , Rs.899 , 0%
Calvin Klein Jeans, Striped Polo Collar T-shirt , Rs.4499 , Rs.2924 , 35% 
United Colors of Benetton, Solid Polo Collar T-shirt , Rs.1599 , Rs.799 , 50% 
Kalt, Colourblocked Polo Collar T-shirt , Rs.1000 , Rs.650 , 35% 
